Name,Price,Category,Question,Answer,Company,PriceQ,PriceA,CompanyQ,CompanyA,VariantQ,VariantA
Gummy Bear,10,Jelly,What is Gummy Bear?,"Gummy bear jelly  is a product that combines the chewy texture of gummy bears with a soft, jelly-like consistency, often made from a mix of ingredients like gelatin and corn syrup to achieve the desired softness",CandyLand,What is the price of Gummy Bear?,The price of Gummy Bear is 10rs,Who is the manufacturer of Gummy Bear?,The manufacturer of Gummy Bear is CandyLand,How many variants are there of Gummy Bear?,
Jelly Fish,10,Jelly,What is Jelly Fish?,"ellyfish Jelly is simply jelly produced by Jellyfish. SpongeBob will occasionally collect some, but only a full jar.",CandyLand,What is the price of Jelly Fish?,The price of Jelly Fish is 10rs,Who is the manufacturer of Jelly Fish?,The manufacturer of Jelly Fish is CandyLand,How many variants are there of Jelly Fish?,
Jello Bello,10,Jelly,What is Jello Bello?,"Jello Bello is a brand of soft, fruity, and chewy jelly candies, also known as the brand BP Sweets Jello Bello",CandyLand,What is the price of Jello Bello?,The price of Jello Bello is 10rs,Who is the manufacturer of Jello Bello?,The manufacturer of Jello Bello is CandyLand,How many variants are there of Jello Bello?,
Berries,10,Jelly,What is Berries?,"Berries jelly is a preserve made from the strained juice of various berries, combined with sugar and a gelling agent like pectin or gelatin. ",CandyLand,What is the price of Berries?,The price of Berries is 10rs,Who is the manufacturer of Berries?,The manufacturer of Berries is CandyLand,How many variants are there of Berries?,
Jelly Strawberry,10,Jelly,What is Jelly Strawberry?,"a fruit spread made from strawberry juice, sugar, and pectin, or a gelatin dessert that is popular in the UK. ",CandyLand,What is the price of Jelly Strawberry?,The price of Jelly Strawberry is 10rs,Who is the manufacturer of Jelly Strawberry?,The manufacturer of Jelly Strawberry is CandyLand,How many variants are there of Jelly Strawberry?,
Amrood Jelly,10,Jelly,What is Amrood Jelly?,"Amrood jelly is a sweet, chewy candy made from guava fruit (amrood) flavor, sugar, and other ingredients",CandyLand,What is the price of Amrood Jelly?,The price of Amrood Jelly is 10rs,Who is the manufacturer of Amrood Jelly?,The manufacturer of Amrood Jelly is CandyLand,How many variants are there of Amrood Jelly?,
Fizzi O,10,Jelly,What is Fizzi O?,"Fizzy-O Jelly is a candy made by the brand Candyland that consists of soft, chewy jelly pieces with a fizzy, tangy taste",Ismail,What is the price of Fizzi O?,The price of Fizzi O is 10rs,Who is the manufacturer of Fizzi O?,The manufacturer of Fizzi O is Ismail,How many variants are there of Fizzi O?,
Anda,10,Jelly,What is Anda?,"a sweet, soft, egg-shaped jelly candy, or a biological ""egg jelly"" that coats and protects the eggs of some animals.",Commodity,What is the price of Anda?,The price of Anda is 10rs,Who is the manufacturer of Anda?,The manufacturer of Anda is Commodity,How many variants are there of Anda?,
ABC,10,Jelly,What is ABC?,"ABC jelly is a fruit-flavored, soft, chewy candies shaped like alphabet letters",Local,What is the price of ABC?,The price of ABC is 10rs,Who is the manufacturer of ABC?,The manufacturer of ABC is Local,How many variants are there of ABC?,
Chilli Milli,10,Jelly,What is Chilli Milli?,"CANDYLAND Chili Mili 30 gm x 24 PACK • Halal Meat & Grocery ...Chilli Milli is a popular Pakistani jelly candy known for its unique sweet, sour, and spicy flavor, with a chewy, gel-like texture",CandyLand,What is the price of Chilli Milli?,The price of Chilli Milli is 10rs,Who is the manufacturer of Chilli Milli?,The manufacturer of Chilli Milli is CandyLand,How many variants are there of Chilli Milli?,
Twisto,10,Jelly,What is Twisto?,"Twisto candy is a soft, chewy jelly candy that comes in a variety of fruity and tangy flavors",Ismail,What is the price of Twisto?,The price of Twisto is 10rs,Who is the manufacturer of Twisto?,The manufacturer of Twisto is Ismail,How many variants are there of Twisto?,
Polly,60,Juice,What is Polly?,Polly Juice is a brand of fruit juice and juice drinks produced by the Pakistani company,Bisconni,What is the price of Polly?,The price of Polly is 60rs,Who is the manufacturer of Polly?,The manufacturer of Polly is Bisconni,How many variants are there of Polly?,
Fruita Vitals Apple,70,Juice,What is Fruita Vitals Apple?,Nestlé Fruita Vitals Apple Juice is a branded line of apple juice and fruit nectar from Nestlé,Nestle,What is the price of Fruita Vitals Apple?,The price of Fruita Vitals Apple is 70rs,Who is the manufacturer of Fruita Vitals Apple?,The manufacturer of Fruita Vitals Apple is Nestle,How many variants are there of Fruita Vitals Apple?,
Fruita Vitals Red Anaar,70,Juice,What is Fruita Vitals Red Anaar?,"Fruita Vitals Red Anaar juice is a pomegranate-flavored fruit nectar made by Nestlé, known for its rich, deep flavor and antioxidant properties",Nestle,What is the price of Fruita Vitals Red Anaar?,The price of Fruita Vitals Red Anaar is 70rs,Who is the manufacturer of Fruita Vitals Red Anaar?,The manufacturer of Fruita Vitals Red Anaar is Nestle,How many variants are there of Fruita Vitals Red Anaar?,
Pakola,80,Juice,What is Pakola?,"Pakola is a brand of Pakistani beverages, known for both its green-colored, ice-cream soda-flavored carbonated soft drink and its range of milk-based and fruit juices",Mehran Bottlers,What is the price of Pakola?,The price of Pakola is 80rs,Who is the manufacturer of Pakola?,The manufacturer of Pakola is Mehran Bottlers,How many variants are there of Pakola?,
Rani Peach,150,Juice,What is Rani Peach?,"Rani peach juice is a fruit juice drink with real peach chunks or pulp, known for its ""shake, drink, and chew"" experience",Aujan Coca-Cola,What is the price of Rani Peach?,The price of Rani Peach is 150rs,Who is the manufacturer of Rani Peach?,The manufacturer of Rani Peach is Aujan Coca-Cola,How many variants are there of Rani Peach?,
Rani Orange,150,Juice,What is Rani Orange?,"Rani orange juice is a brand of fruit-based juice drink known for its signature ""Float"" line, which contains real fruit pieces or chunks in a refreshing juice blend",Aujan Coca-Cola,What is the price of Rani Orange?,The price of Rani Orange is 150rs,Who is the manufacturer of Rani Orange?,The manufacturer of Rani Orange is Aujan Coca-Cola,How many variants are there of Rani Orange?,
Nesfruita,60,Juice,What is Nesfruita?,Nesfruta is a brand of fruit-flavored beverages made by Nestlé. Available in flavors like apple and mango,Nestle,What is the price of Nesfruita?,The price of Nesfruita is 60rs,Who is the manufacturer of Nesfruita?,The manufacturer of Nesfruita is Nestle,How many variants are there of Nesfruita?,
Slice,60,Juice,What is Slice?,"Slice is a mango-flavored fruit juice, popular in South Asia, made with mango pulp and marketed as a refreshing and tasty drink",PepsiCo,What is the price of Slice?,The price of Slice is 60rs,Who is the manufacturer of Slice?,The manufacturer of Slice is PepsiCo,How many variants are there of Slice?,
Nesfruita Red Grapes,70,Juice,What is Nesfruita Red Grapes?,"Nestlé Fruita Vitals Red Grapes Juice is a fruit drink brand from Pakistan that comes in different fruit juice content percentages, such as 35% or 50%",Nestle,What is the price of Nesfruita Red Grapes?,The price of Nesfruita Red Grapes is 70rs,Who is the manufacturer of Nesfruita Red Grapes?,The manufacturer of Nesfruita Red Grapes is Nestle,How many variants are there of Nesfruita Red Grapes?,
Chilli Garlic Sauce,220,Ketchup,What is Chilli Garlic Sauce?,"National Chilli Garlic Sauce is a versatile condiment from National Foods that combines spicy chili peppers and aromatic garlic to create a bold, savory, and hot flavor",National,What is the price of Chilli Garlic Sauce?,The price of Chilli Garlic Sauce is 220rs,Who is the manufacturer of Chilli Garlic Sauce?,The manufacturer of Chilli Garlic Sauce is National,How many variants are there of Chilli Garlic Sauce?,
Tomato Ketchup,220,Ketchup,What is Tomato Ketchup?,"National Tomato Ketchup is a thick, flavorful condiment made by National Foods from real tomatoes and a blend of spices",National,What is the price of Tomato Ketchup?,The price of Tomato Ketchup is 220rs,Who is the manufacturer of Tomato Ketchup?,The manufacturer of Tomato Ketchup is National,How many variants are there of Tomato Ketchup?,
Nurpur,80,Milk Whitener,What is Nurpur?,"Nurpur milk is a brand of dairy products, particularly known for its full-cream milk",Fauji Foods,What is the price of Nurpur?,The price of Nurpur is 80rs,Who is the manufacturer of Nurpur?,The manufacturer of Nurpur is Fauji Foods,How many variants are there of Nurpur?,
Olpers,80,Milk Whitener,What is Olpers?,"Olpers is a full cream, flavored, and high-calcium low-fat milk",Engro Foods,What is the price of Olpers?,The price of Olpers is 80rs,Who is the manufacturer of Olpers?,The manufacturer of Olpers is Engro Foods,How many variants are there of Olpers?,
Dostea,60,Milk Whitener,What is Dostea?,Dostea milk is a liquid tea creamer,Engro Foods,What is the price of Dostea?,The price of Dostea is 60rs,Who is the manufacturer of Dostea?,The manufacturer of Dostea is Engro Foods,How many variants are there of Dostea?,
Milkpak,80,Milk Whitener,What is Milkpak?,"Milkpak is a popular dairy product brand from Nestlé, primarily sold in Pakistan, that includes a variety of items like full-cream milk and cream",Nestle,What is the price of Milkpak?,The price of Milkpak is 80rs,Who is the manufacturer of Milkpak?,The manufacturer of Milkpak is Nestle,How many variants are there of Milkpak?,
Tarang,60,Milk Whitener,What is Tarang?,Tarang milk is a popular UHT (Ultra-High Temperature) dairy-based tea whitener made by Engro Foods in Pakistan,Engro Foods,What is the price of Tarang?,The price of Tarang is 60rs,Who is the manufacturer of Tarang?,The manufacturer of Tarang is Engro Foods,How many variants are there of Tarang?,
Adaab,10,Nicotine,What is Adaab?,"The product is known for its ""traditional flavor"" and is widely exported from India to markets in Pakistan, Afghanistan, and the Middle East. The product is consumed for cultural and social occasions and is associated with a rich and satisfying taste. ",Local,What is the price of Adaab?,The price of Adaab is 10rs,Who is the manufacturer of Adaab?,The manufacturer of Adaab is Local,How many variants are there of Adaab?,There are no variants (sizes) of Adaab?
Rajni,10,Nicotine,What is Rajni?,Rajni is a sweet mouth freshener made with betel nuts and other ingredients,Local,What is the price of Rajni?,The price of Rajni is 10rs,Who is the manufacturer of Rajni?,The manufacturer of Rajni is Local,How many variants are there of Rajni?,There are no variants (sizes) of Rajni?
Pan Parag,10,Nicotine,What is Pan Parag?,Pan Parag is a brand name for a popular Indian mouth freshener and a pioneer in the pan masala industry .,DS Group,What is the price of Pan Parag?,The price of Pan Parag is 10rs,Who is the manufacturer of Pan Parag?,The manufacturer of Pan Parag is DS Group,How many variants are there of Pan Parag?,There are no variants (sizes) of Pan Parag?
Mughlia,20,Nimco,What is Mughlia?,"Mughlia nimco is a spicy, crunchy, South Asian savory snack mix inspired by the culinary traditions of the Mughal Empire",Local,What is the price of Mughlia?,The price of Mughlia is 20rs,Who is the manufacturer of Mughlia?,The manufacturer of Mughlia is Local,How many variants are there of Mughlia?,
Lunch Time,20,Nimco,What is Lunch Time?,"Lunch time nimco is a marketing term for a specific mix of spicy, savory Pakistani snacks designed to be eaten during a mealtime, not just as a casual snack",Bisconni,What is the price of Lunch Time?,The price of Lunch Time is 20rs,Who is the manufacturer of Lunch Time?,The manufacturer of Lunch Time is Bisconni,How many variants are there of Lunch Time?,
Ballay Ballay,20,Nimco,What is Ballay Ballay?,"Ballay Ballay Nimco is a Pakistani savory snack mix, known for its crispy and spicy flavors",Bisconni,What is the price of Ballay Ballay?,The price of Ballay Ballay is 20rs,Who is the manufacturer of Ballay Ballay?,The manufacturer of Ballay Ballay is Bisconni,How many variants are there of Ballay Ballay?,
Shoop Chicken,50,Noodles,What is Shoop Chicken?,Shoop Chicken is a brand of instant chicken-flavored noodles.,Shan Foods,What is the price of Shoop Chicken?,The price of Shoop Chicken is 50rs,Who is the manufacturer of Shoop Chicken?,The manufacturer of Shoop Chicken is Shan Foods,How many variants are there of Shoop Chicken?,
Knor Chicken,50,Noodles,What is Knor Chicken?,"Knorr Chicken is a brand of food products that enhances the flavor of dishes with a savory, chicken taste. ",Unilever,What is the price of Knor Chicken?,The price of Knor Chicken is 50rs,Who is the manufacturer of Knor Chicken?,The manufacturer of Knor Chicken is Unilever,How many variants are there of Knor Chicken?,
Shoop Chatpata,50,Noodles,What is Shoop Chatpata?,"Shoop Chatpata is a brand of instant noodles from Shan Foods that are known for their spicy and tangy ""chatpata"" . ",Shan Foods,What is the price of Shoop Chatpata?,The price of Shoop Chatpata is 50rs,Who is the manufacturer of Shoop Chatpata?,The manufacturer of Shoop Chatpata is Shan Foods,How many variants are there of Shoop Chatpata?,
Knor Chatpata,50,Noodles,What is Knor Chatpata?,"Knorr Chatpata is a type of instant noodle with a popular, tangy and spicy ""chatpata"" flavor profile, inspired by South Asian street food.",Unilever,What is the price of Knor Chatpata?,The price of Knor Chatpata is 50rs,Who is the manufacturer of Knor Chatpata?,The manufacturer of Knor Chatpata is Unilever,How many variants are there of Knor Chatpata?,
Mixed Pickle,50,Pickle,What is Mixed Pickle?,"Mixed pickle is a condiment made from a variety of vegetables preserved in a brine or oil, featuring a medley of flavors like tangy, spicy, and savory.",National,What is the price of Mixed Pickle?,The price of Mixed Pickle is 50rs,Who is the manufacturer of Mixed Pickle?,The manufacturer of Mixed Pickle is National,How many variants are there of Mixed Pickle?,
Treet,80,Razor,What is Treet?,"Treet is a Pakistani conglomerate that primarily manufactures razors and razor blades, including disposable and safety razors for personal hygiene, as well as other products like batteries and soaps .",Treet Corporation,What is the price of Treet?,The price of Treet is 80rs,Who is the manufacturer of Treet?,The manufacturer of Treet is Treet Corporation,How many variants are there of Treet?,There are no variants (sizes) of Treet?
Trig,80,Razor,What is Trig?,"Trig is a brand of razor blades, specifically Trig Silver Edge, which are stainless steel, double-edge razor blades made by the Treet Corporation in Pakistan",Treet Corporation,What is the price of Trig?,The price of Trig is 80rs,Who is the manufacturer of Trig?,The manufacturer of Trig is Treet Corporation,How many variants are there of Trig?,There are no variants (sizes) of Trig?
Gillete,80,Razor,What is Gillete?,"Gillette is an American brand of razors and personal care products, owned by Procter & Gamble.",P&G,What is the price of Gillete?,The price of Gillete is 80rs,Who is the manufacturer of Gillete?,The manufacturer of Gillete is P&G,How many variants are there of Gillete?,There are no variants (sizes) of Gillete?
Butterfly,400,Sanitary Pads,What is Butterfly?,"Butterfly sanitary pads are a line of menstrual hygiene products known for their comfort, absorbency, and variety, including options for sensitive skin, heavy flow, and postpartum use",Santex,What is the price of Butterfly?,The price of Butterfly is 400rs,Who is the manufacturer of Butterfly?,The manufacturer of Butterfly is Santex,How many variants are there of Butterfly?,
Always,400,Sanitary Pads,What is Always?,"Always Sanitary Pads are a brand of disposable feminine hygiene products designed for absorbing menstrual flow. They are manufactured by Procter & Gamble and come in various styles, such as ultra-thin, thick, and overnight options, to provide protection and comfort during a menstrual period. Key features often include features like wings, absorbent cores, and odor control technology. ",P&G,What is the price of Always?,The price of Always is 400rs,Who is the manufacturer of Always?,The manufacturer of Always is P&G,How many variants are there of Always?,
Embrace,400,Sanitary Pads,What is Embrace?,"Embrace is a brand of sanitary pads from Pakistan, offering a range of products like the ""Sensitives"" line for sensitive skin and ""Essentials"" for regular use. These pads are known for features like being perfume and ink-free, having a cotton-soft top sheet, and a breathable backsheet for comfort. Some specific products are designed to be extra long, maxi thick, or ultra-thin.",P&G,What is the price of Embrace?,The price of Embrace is 400rs,Who is the manufacturer of Embrace?,The manufacturer of Embrace is P&G,How many variants are there of Embrace?,
Sunsilk,350,Shampoo,What is Sunsilk?,"Sunsilk shampoo is a line of hair care products from the Unilever brand, known for being an affordable and popular hair-care brand",Unilever,What is the price of Sunsilk?,The price of Sunsilk is 350rs,Who is the manufacturer of Sunsilk?,The manufacturer of Sunsilk is Unilever,How many variants are there of Sunsilk?,
Head n Shoulder,350,Shampoo,What is Head n Shoulder?,Head n Shoulder is anti-dandruff shampoo brand,P&G,What is the price of Head n Shoulder?,The price of Head n Shoulder is 350rs,Who is the manufacturer of Head n Shoulder?,The manufacturer of Head n Shoulder is P&G,How many variants are there of Head n Shoulder?,
Tresseme,350,Shampoo,What is Tresseme?,"TRESemme is a global hair care brand, owned by Unilever, that offers a wide range of professional-quality shampoos, conditioners, and styling products designed for at-home use",Unilever,What is the price of Tresseme?,The price of Tresseme is 350rs,Who is the manufacturer of Tresseme?,The manufacturer of Tresseme is Unilever,How many variants are there of Tresseme?,
Lifebouy Shampoo,350,Shampoo,What is Lifebouy Shampoo?,"Lifebuoy Shampoo is a personal care product formulated to cleanse hair and promote strength and shine, often containing ingredients like milk protein and natural herbs. Sanitary pads, on the other hand, are disposable personal hygiene products used by women to absorb menstrual flow .",Unilever,What is the price of Lifebouy Shampoo?,The price of Lifebouy Shampoo is 350rs,Who is the manufacturer of Lifebouy Shampoo?,The manufacturer of Lifebouy Shampoo is Unilever,How many variants are there of Lifebouy Shampoo?,
Clear,350,Shampoo,What is Clear?,"Clear is a brand of shampoo that focuses on scalp care, primarily known for its anti-dandruff properties and its use of technologies like Triple Anti-Dandruff Technology.",Unilever,What is the price of Clear?,The price of Clear is 350rs,Who is the manufacturer of Clear?,The manufacturer of Clear is Unilever,How many variants are there of Clear?,
Power Plus,150,Shoe Polish,What is Power Plus?,"wer Plus is a brand of shoe polish available in various formats, such as liquid, cream, and instant shiner, designed to clean, shine, and protect leather and synthetic shoes",Local,What is the price of Power Plus?,The price of Power Plus is 150rs,Who is the manufacturer of Power Plus?,The manufacturer of Power Plus is Local,How many variants are there of Power Plus?,
Kiwi,100,Shoe Polish,What is Kiwi?,"Kiwi shoe polish is a brand of shoe polish used to clean, shine, and protect leather footwear",SC Johnson,What is the price of Kiwi?,The price of Kiwi is 100rs,Who is the manufacturer of Kiwi?,The manufacturer of Kiwi is SC Johnson,How many variants are there of Kiwi?,
Cherry Blososom,250,Shoe Polish,What is Cherry Blososom?,"Cherry Blossom shoe polish is a brand of shoe care products, primarily a wax and oil-based polish, that is designed to clean, condition, and shine smooth leather shoes",SC Johnson,What is the price of Cherry Blososom?,The price of Cherry Blososom is 250rs,Who is the manufacturer of Cherry Blososom?,The manufacturer of Cherry Blososom is SC Johnson,How many variants are there of Cherry Blososom?,
Lifebouy,100,Soap,What is Lifebouy?,"Lifebuoy is a brand of soap, originally famous for its carbolic acid content, that is now marketed as a germ-protection soap with various formulations for hand and body hygiene",Unilever,What is the price of Lifebouy?,The price of Lifebouy is 100rs,Who is the manufacturer of Lifebouy?,The manufacturer of Lifebouy is Unilever,How many variants are there of Lifebouy?,
Hari,40,Soap,What is Hari?,Hari is a laundry bar soap,Local,What is the price of Hari?,The price of Hari is 40rs,Who is the manufacturer of Hari?,The manufacturer of Hari is Local,How many variants are there of Hari?,
Safeguard,120,Soap,What is Safeguard?,Safeguard is an antibacterial soap,P&G,What is the price of Safeguard?,The price of Safeguard is 120rs,Who is the manufacturer of Safeguard?,The manufacturer of Safeguard is P&G,How many variants are there of Safeguard?,
Pears,200,Soap,What is Pears?,Pears is a glycerin-based soap,Unilever,What is the price of Pears?,The price of Pears is 200rs,Who is the manufacturer of Pears?,The manufacturer of Pears is Unilever,How many variants are there of Pears?,
Tibet,100,Soap,What is Tibet?,TIbet is a daily cleansing soap,Tibbet Group,What is the price of Tibet?,The price of Tibet is 100rs,Who is the manufacturer of Tibet?,The manufacturer of Tibet is Tibbet Group,How many variants are there of Tibet?,
Palmolive,100,Soap,What is Palmolive?,Palmolive is a brand of personal care and cleaning products produced by Colgate-Palmolive,Colgate-Palmolive,What is the price of Palmolive?,The price of Palmolive is 100rs,Who is the manufacturer of Palmolive?,The manufacturer of Palmolive is Colgate-Palmolive,How many variants are there of Palmolive?,
Dettol,120,Soap,What is Dettol?,Dettol soap is an antibacterial bar soap designed to cleanse the skin and protect against germs that cause body odor and skin infections,Reckitt,What is the price of Dettol?,The price of Dettol is 120rs,Who is the manufacturer of Dettol?,The manufacturer of Dettol is Reckitt,How many variants are there of Dettol?,
Lux,180,Soap,What is Lux?,"Lux soap is a brand of beauty soap produced by Unilever, known for its luxurious fragrances and skin-nourishing properties rather than strong antibacterial effects",Unilever,What is the price of Lux?,The price of Lux is 180rs,Who is the manufacturer of Lux?,The manufacturer of Lux is Unilever,How many variants are there of Lux?,
Dove,200,Soap,What is Dove?,"Dove is a Beauty Bar, a cleansing product that is different from traditional bar soaps because it contains 1/4 moisturizing cream",Unilever,What is the price of Dove?,The price of Dove is 200rs,Who is the manufacturer of Dove?,The manufacturer of Dove is Unilever,How many variants are there of Dove?,
Mountain Dew,180,Soft Drink,What is Mountain Dew?,"Mountain Dew is a citrus-flavored, caffeinated carbonated soft drink",PepsiCo,What is the price of Mountain Dew?,The price of Mountain Dew is 180rs,Who is the manufacturer of Mountain Dew?,The manufacturer of Mountain Dew is PepsiCo,How many variants are there of Mountain Dew?,
Fizz Up,180,Soft Drink,What is Fizz Up?,"Fizz Up is a low-carb, sugar-free, and sparkling drink",Local,What is the price of Fizz Up?,The price of Fizz Up is 180rs,Who is the manufacturer of Fizz Up?,The manufacturer of Fizz Up is Local,How many variants are there of Fizz Up?,
Pepsi Diet,180,Soft Drink,What is Pepsi Diet?,"Diet Pepsi is a sugar-free, zero-calorie version of the classic Pepsi cola that uses artificial sweeteners to provide the same flavor without the sugar",PepsiCo,What is the price of Pepsi Diet?,The price of Pepsi Diet is 180rs,Who is the manufacturer of Pepsi Diet?,The manufacturer of Pepsi Diet is PepsiCo,How many variants are there of Pepsi Diet?,
Sting,180,Soft Drink,What is Sting?,Sting is a carbonated energy drink,PepsiCo,What is the price of Sting?,The price of Sting is 180rs,Who is the manufacturer of Sting?,The manufacturer of Sting is PepsiCo,How many variants are there of Sting?,
Mirinda,180,Soft Drink,What is Mirinda?,Mirinda is a carbonated fruit-flavored soft drink,PepsiCo,What is the price of Mirinda?,The price of Mirinda is 180rs,Who is the manufacturer of Mirinda?,The manufacturer of Mirinda is PepsiCo,How many variants are there of Mirinda?,
Fanta,180,Soft Drink,What is Fanta?,"Fanta is a fizzy, fruity, and tangy taste drink",Coca-Cola,What is the price of Fanta?,The price of Fanta is 180rs,Who is the manufacturer of Fanta?,The manufacturer of Fanta is Coca-Cola,How many variants are there of Fanta?,
7Up,180,Soft Drink,What is 7Up?,"7UP is a brand of lemon-lime-flavored, non-caffeinated soft drink",PepsiCo,What is the price of 7Up?,The price of 7Up is 180rs,Who is the manufacturer of 7Up?,The manufacturer of 7Up is PepsiCo,How many variants are there of 7Up?,
Sprite,180,Soft Drink,What is Sprite?,"Sprite is a caffeine-free, lemon-lime flavored soft drink",Coca-Cola,What is the price of Sprite?,The price of Sprite is 180rs,Who is the manufacturer of Sprite?,The manufacturer of Sprite is Coca-Cola,How many variants are there of Sprite?,
Coca Cola,180,Soft Drink,What is Coca Cola?,"Coca-Cola is a sweet, carbonated beverage",Coca-Cola,What is the price of Coca Cola?,The price of Coca Cola is 180rs,Who is the manufacturer of Coca Cola?,The manufacturer of Coca Cola is Coca-Cola,How many variants are there of Coca Cola?,
Pepsi,180,Soft Drink,What is Pepsi?,Pepsi is a carbonated soft drink with a cola flavor,PepsiCo,What is the price of Pepsi?,The price of Pepsi is 180rs,Who is the manufacturer of Pepsi?,The manufacturer of Pepsi is PepsiCo,How many variants are there of Pepsi?,
Cola Next,180,Soft Drink,What is Cola Next?,"Cola Next is a classic cola flavor, balancing sweetness with a tangy and fizzy taste drink",Mehran Bottlers,What is the price of Cola Next?,The price of Cola Next is 180rs,Who is the manufacturer of Cola Next?,The manufacturer of Cola Next is Mehran Bottlers,How many variants are there of Cola Next?,
Rajput,5,Supari,What is Rajput?,"Rajput Supari is a type of sweet areca nut (supari) mouth freshener, often marketed as ""Rajput Gold""",Local,What is the price of Rajput?,The price of Rajput is 5rs,Who is the manufacturer of Rajput?,The manufacturer of Rajput is Local,How many variants are there of Rajput?,There are no variants (sizes) of Rajput?
Jambola,5,Supari,What is Jambola?,"Jambola supari is a type of sweet mouth freshener made from betel nuts, flavored, and often infused with menthol and other spices",Local,What is the price of Jambola?,The price of Jambola is 5rs,Who is the manufacturer of Jambola?,The manufacturer of Jambola is Local,How many variants are there of Jambola?,There are no variants (sizes) of Jambola?
Tara,5,Supari,What is Tara?,"Tara Supari, specifically Tara Gold Sweet Supari, is a brand of sweet betel nut (areca nut) mouth freshener popular in Pakistan",Local,What is the price of Tara?,The price of Tara is 5rs,Who is the manufacturer of Tara?,The manufacturer of Tara is Local,How many variants are there of Tara?,There are no variants (sizes) of Tara?
Dillagi,5,Supari,What is Dillagi?,"Dillagi supari is a sweet, flavored betel nut product commonly used as a traditional Indian and Pakistani mouth freshener and digestive aid",Local,What is the price of Dillagi?,The price of Dillagi is 5rs,Who is the manufacturer of Dillagi?,The manufacturer of Dillagi is Local,How many variants are there of Dillagi?,There are no variants (sizes) of Dillagi?
Tasty Gold,5,Supari,What is Tasty Gold?,Tasty Gold is a mouth freshner supari,Local,What is the price of Tasty Gold?,The price of Tasty Gold is 5rs,Who is the manufacturer of Tasty Gold?,The manufacturer of Tasty Gold is Local,How many variants are there of Tasty Gold?,There are no variants (sizes) of Tasty Gold?
Andlip,5,Supari,What is Andlip?,"Andleeb supari is a specific brand of sweet, traditional Pakistani mouth freshener made from areca nuts that are sweetened with sugar, artificial flavors, and menthol",Local,What is the price of Andlip?,The price of Andlip is 5rs,Who is the manufacturer of Andlip?,The manufacturer of Andlip is Local,How many variants are there of Andlip?,There are no variants (sizes) of Andlip?
Hum Tum,5,Supari,What is Hum Tum?,"Hum Tum Supari is a popular sweet, aromatic mouth freshener from Pakistan, made primarily from betel nuts (supari) mixed with a variety of other ingredients like fennel, sesame, aniseed, and a chocolate flavor",Local,What is the price of Hum Tum?,The price of Hum Tum is 5rs,Who is the manufacturer of Hum Tum?,The manufacturer of Hum Tum is Local,How many variants are there of Hum Tum?,There are no variants (sizes) of Hum Tum?
Naz,5,Supari,What is Naz?,"Naz supari is a popular Pakistani sweet mouth freshener made from areca nut (betel nut), flavored with a sweet and aromatic blend of spices, sugar, fennel seeds, and coconut",Local,What is the price of Naz?,The price of Naz is 5rs,Who is the manufacturer of Naz?,The manufacturer of Naz is Local,How many variants are there of Naz?,There are no variants (sizes) of Naz?
Sanam Gold,5,Supari,What is Sanam Gold?,"Sanam Gold Supari is a type of sweet betel nut confection, often sold as a candy or after-meal treat, that is typically found in a gold-colored wrapper",Local,What is the price of Sanam Gold?,The price of Sanam Gold is 5rs,Who is the manufacturer of Sanam Gold?,The manufacturer of Sanam Gold is Local,How many variants are there of Sanam Gold?,There are no variants (sizes) of Sanam Gold?
Tulsi,5,Supari,What is Tulsi?,"Tulsi supari is a traditional South Asian mouth freshener that combines betel nut (\(supari\)) with sweet, aromatic ingredients, including tulsi (holy basil) leaves. It is made with a blend of ingredients like fennel seeds, cardamom, and sugar, offering a sweet, refreshing, and aromatic flavor profile that is used as a digestive aid after meals or as a social treat",Local,What is the price of Tulsi?,The price of Tulsi is 5rs,Who is the manufacturer of Tulsi?,The manufacturer of Tulsi is Local,How many variants are there of Tulsi?,There are no variants (sizes) of Tulsi?
Shahi Deluxe,5,Supari,What is Shahi Deluxe?,"Shahi Deluxe Supari is a popular herbal mouth freshener made with a blend of ingredients like fennel seeds, dry dates, cardamom, and menthol",Local,What is the price of Shahi Deluxe?,The price of Shahi Deluxe is 5rs,Who is the manufacturer of Shahi Deluxe?,The manufacturer of Shahi Deluxe is Local,How many variants are there of Shahi Deluxe?,There are no variants (sizes) of Shahi Deluxe?
Kashmiri Gold,5,Supari,What is Kashmiri Gold?,"Kashmiri Gold Supari is a premium mouth freshener made from a blend of betel nuts (supari), natural flavors, mint, sweeteners, and sometimes silver leaves or dry fruits",Local,What is the price of Kashmiri Gold?,The price of Kashmiri Gold is 5rs,Who is the manufacturer of Kashmiri Gold?,The manufacturer of Kashmiri Gold is Local,How many variants are there of Kashmiri Gold?,There are no variants (sizes) of Kashmiri Gold?
Jam e shirin,230,Syrup,What is Jam e shirin?,"Jam-e-Shirin is a brand of refreshing herbal syrup, often made from distillates of natural herbs and known for its pleasant taste and fragrance",Qarshi,What is the price of Jam e shirin?,The price of Jam e shirin is 230rs,Who is the manufacturer of Jam e shirin?,The manufacturer of Jam e shirin is Qarshi,How many variants are there of Jam e shirin?,
